prompt_idx,category,fragility_score,min_margin,mean_margin,median_margin,fragile_positions,total_positions,text
28,factual,0.08984375,0.00218963623046875,6.615288734436035,7.287928581237793,23,256,Who wrote the novel 'Beloved'?
29,factual,0.09375,0.022665023803710938,6.803848743438721,7.103787422180176,24,256,What is Albert Einstein known for?
30,factual,0.08984375,0.0029201507568359375,5.863241195678711,6.125522613525391,23,256,In what year did the Storming of the Bastille occur?
31,factual,0.09375,0.04381561279296875,4.872973918914795,4.8486127853393555,24,256,Who wrote the novel 'One Hundred Years of Solitude'?
32,factual,0.05078125,0.07754898071289062,6.19841194152832,6.068782806396484,13,256,What language is primarily spoken in Bulgaria?
33,factual,0.11328125,0.015291213989257812,6.27632999420166,6.855839729309082,29,256,What is the chemical symbol for Arsenic?
34,factual,0.18359375,0.01598358154296875,5.176953315734863,5.236151695251465,47,256,In what year did the discovery of the structure of DNA occur?
35,factual,0.08203125,0.025724411010742188,7.549577236175537,8.41607666015625,21,256,What is the chemical symbol for Silver?
36,factual,0.07421875,0.08061599731445312,7.194297790527344,7.972412109375,19,256,What is the chemical symbol for Mercury?
37,factual,0.26171875,0.008190155029296875,4.030055522918701,3.801004409790039,67,256,Who wrote the novel 'The Count of Monte Cristo'?
38,factual,0.05859375,0.03958702087402344,6.126918792724609,6.456608772277832,15,256,What is Catherine the Great known for?
39,factual,0.13671875,0.001041412353515625,4.867336273193359,5.792502403259277,35,256,What is the typical lifespan of a lobster?
40,factual,0.05078125,0.0039043426513671875,5.746882915496826,5.489619255065918,13,256,What is the capital of Lebanon?
41,factual,0.05078125,0.0026264190673828125,6.1871747970581055,6.631865501403809,13,256,What is the capital of Ukraine?
42,factual,0.19921875,0.024415969848632812,4.240367412567139,3.392911911010742,51,256,What is the capital of Sri Lanka?
43,factual,0.015625,0.0044689178466796875,7.2582597732543945,7.073019027709961,4,256,What is the capital of Philippines?
44,factual,0.1328125,0.0025424957275390625,5.514548301696777,5.595517158508301,34,256,What is the chemical symbol for Krypton?
45,factual,0.09765625,0.0006465911865234375,5.171661376953125,5.314260482788086,25,256,What is the typical lifespan of a platypus?
46,factual,0.0234375,0.016031265258789062,7.723326683044434,7.53109073638916,6,256,What is the capital of Ghana?
47,factual,0.03125,0.04541969299316406,6.626941680908203,6.727644920349121,8,256,What is the typical lifespan of a starfish?
48,factual,0.1015625,0.06204032897949219,5.815483093261719,6.148686408996582,26,256,What is the chemical symbol for Titanium?
49,factual,0.09375,0.021455764770507812,4.7627787590026855,4.322277069091797,24,256,What language is primarily spoken in Jamaica?
50,factual,0.13671875,0.04561042785644531,4.788785457611084,4.682222366333008,35,256,What is Alexander Graham Bell known for?
51,factual,0.2578125,0.007867813110351562,3.706580400466919,3.644038200378418,66,256,Who wrote the novel 'Slaughterhouse-Five'?
52,factual,0.0859375,0.019916534423828125,6.3494768142700195,6.435513496398926,22,256,What is Karl Marx known for?
53,factual,0.05078125,0.16292572021484375,5.759677410125732,5.530611038208008,13,256,What is the capital of Cuba?
54,factual,0.078125,0.024341583251953125,5.631396293640137,5.623055458068848,20,256,What language is primarily spoken in Ireland?
55,factual,0.0703125,0.016126632690429688,5.6699934005737305,5.757024765014648,18,256,What language is primarily spoken in New Zealand?
56,factual,0.03125,0.12519264221191406,6.859785556793213,6.988161087036133,8,256,In what year did the invention of the printing press occur?
57,factual,0.04296875,0.013662338256835938,7.20188045501709,7.571968078613281,11,256,What continent is China located on?
58,factual,0.03125,0.07708740234375,6.81496000289917,7.048884391784668,8,256,What is the typical lifespan of a seahorse?
59,factual,0.0703125,0.003360748291015625,6.266365051269531,6.000847816467285,18,256,What continent is Canada located on?
60,factual,0.1171875,0.015497207641601562,5.160811424255371,5.579324722290039,30,256,What is Marco Polo known for?
61,factual,0.05859375,0.023485183715820312,7.107299327850342,7.944942474365234,15,256,Who wrote the novel 'Oliver Twist'?
62,factual,0.2109375,0.01699066162109375,4.258508682250977,4.404382705688477,54,256,What is Leonardo da Vinci known for?
63,factual,0.09375,0.1494579315185547,6.184974670410156,6.364997863769531,24,256,What language is primarily spoken in Nepal?
64,factual,0.07421875,0.11451339721679688,5.428269863128662,5.500201225280762,19,256,What language is primarily spoken in Australia?
65,factual,0.1328125,0.0050811767578125,5.482844829559326,5.909753799438477,34,256,What continent is Nepal located on?
66,factual,0.07421875,0.0018329620361328125,5.178557395935059,5.682938575744629,19,256,What is the typical lifespan of a squid?
67,factual,0.0703125,0.008686065673828125,6.3848676681518555,6.696626663208008,18,256,In what year did the invention of the steam engine occur?
68,factual,0.1328125,0.02203369140625,4.78029203414917,4.8589372634887695,34,256,What continent is Jamaica located on?
69,factual,0.07421875,0.1785869598388672,6.151360511779785,6.739989280700684,19,256,What is the capital of India?
70,factual,0.0390625,0.07671928405761719,6.789785861968994,7.315934181213379,10,256,What is the typical lifespan of a shark?
71,factual,0.10546875,0.001956939697265625,5.708975791931152,5.958034515380859,27,256,Who wrote the novel 'Siddhartha'?
72,factual,0.08203125,0.026569366455078125,5.87211799621582,6.134040832519531,21,256,What language is primarily spoken in Lebanon?
73,factual,0.05078125,0.3764152526855469,5.241939067840576,5.291358947753906,13,256,What is the typical lifespan of a owl?
74,factual,0.0390625,0.014072418212890625,7.185008525848389,7.086023330688477,10,256,Who wrote the novel 'Little Women'?
75,factual,0.0625,0.11237335205078125,7.278166770935059,7.712076187133789,16,256,What is Aristotle known for?
76,factual,0.1640625,0.011264801025390625,4.7964253425598145,5.478672027587891,42,256,Who wrote the novel 'The Catcher in the Rye'?
77,factual,0.03515625,0.0062923431396484375,5.895455837249756,5.735805511474609,9,256,What is the capital of Germany?
78,factual,0.02734375,0.2701072692871094,6.867591857910156,7.018982887268066,7,256,What language is primarily spoken in Ghana?
79,factual,0.0703125,0.05920982360839844,6.889524936676025,7.336974143981934,18,256,What language is primarily spoken in Spain?
80,factual,0.12109375,0.0164337158203125,5.488517761230469,5.671523094177246,31,256,What language is primarily spoken in Pakistan?
81,factual,0.06640625,0.0051593780517578125,6.5965962409973145,6.785496711730957,17,256,Who wrote the novel 'Robinson Crusoe'?
82,factual,0.12109375,0.002262115478515625,5.140316486358643,5.32192325592041,31,256,Who wrote the novel 'Don Quixote'?
83,factual,0.03515625,0.029428482055664062,7.290482521057129,7.44509220123291,9,256,What continent is Russia located on?
84,factual,0.0625,0.037540435791015625,7.031468868255615,7.697020530700684,16,256,What language is primarily spoken in Egypt?
85,factual,0.05078125,0.07218551635742188,6.544930458068848,6.907256126403809,13,256,What continent is Spain located on?
86,factual,0.15625,0.018312454223632812,5.336336135864258,5.8336334228515625,40,256,In what year did the World War I occur?
87,factual,0.046875,0.05343818664550781,6.6311354637146,6.776400566101074,12,256,What language is primarily spoken in Bolivia?
88,factual,0.0703125,0.029354095458984375,6.356430530548096,6.645144462585449,18,256,Who wrote the novel 'The Great Gatsby'?
89,factual,0.1015625,0.051631927490234375,5.619446277618408,5.917044639587402,26,256,What continent is New Zealand located on?
90,factual,0.125,0.0021724700927734375,5.304173946380615,5.809654235839844,32,256,What continent is Pakistan located on?
91,factual,0.06640625,0.13590621948242188,6.611326217651367,6.541593551635742,17,256,What continent is Germany located on?
92,factual,0.03515625,0.11331558227539062,7.462385177612305,7.5632476806640625,9,256,In what year did the dissolution of the Soviet Union occur?
93,factual,0.10546875,0.01671600341796875,6.156890869140625,6.807311058044434,27,256,What is the capital of Poland?
94,factual,0.20703125,0.020818710327148438,4.095212936401367,3.6656484603881836,53,256,In what year did the Treaty of Versailles occur?
95,factual,0.10546875,0.0022106170654296875,5.188985347747803,5.461623668670654,27,256,What is the typical lifespan of a zebra?
96,factual,0.1015625,0.0032024383544921875,5.964454650878906,6.427024841308594,26,256,What is the chemical symbol for Calcium?
97,factual,0.1171875,0.059391021728515625,4.730125427246094,4.7224931716918945,30,256,What is the capital of Spain?
98,factual,0.09375,0.08380699157714844,5.581943035125732,5.530587196350098,24,256,What is the typical lifespan of a chameleon?
99,factual,0.203125,0.018899917602539062,4.78720235824585,4.5543975830078125,52,256,What is the capital of Mongolia?
100,factual,0.05859375,0.03221321105957031,7.213350296020508,7.699315071105957,15,256,What is Frida Kahlo known for?
101,factual,0.18359375,0.030633926391601562,4.330374717712402,5.029031753540039,47,256,What is Thomas Edison known for?
102,factual,0.07421875,0.0057506561279296875,6.636950492858887,7.26451301574707,19,256,What is the chemical symbol for Chromium?
103,factual,0.1171875,0.00528717041015625,4.80802059173584,4.639670372009277,30,256,What language is primarily spoken in France?
104,factual,0.05078125,0.02458953857421875,5.58779239654541,5.357735633850098,13,256,What is the capital of Venezuela?
105,factual,0.109375,0.03328132629394531,5.183199405670166,5.699036598205566,28,256,What is the typical lifespan of a koala?
106,factual,0.0390625,0.012416839599609375,5.512136459350586,5.487251281738281,10,256,What is the capital of Ireland?
107,factual,0.0546875,0.07200813293457031,5.859203338623047,5.663037300109863,14,256,What is the capital of Egypt?
108,factual,0.09375,0.01128387451171875,5.692234992980957,5.957563400268555,24,256,What continent is Mongolia located on?
109,factual,0.04296875,0.10177993774414062,6.696867942810059,6.82437801361084,11,256,What is the typical lifespan of a salmon?
110,factual,0.0546875,0.049724578857421875,6.075246334075928,6.332877159118652,14,256,Who wrote the novel 'Pride and Prejudice'?
111,factual,0.02734375,0.1590118408203125,6.033267974853516,5.831541061401367,7,256,What is the capital of Japan?
112,factual,0.1875,0.002349853515625,4.782151699066162,5.158641815185547,48,256,In what year did the Protestant Reformation occur?
113,factual,0.08984375,0.031053543090820312,6.368427753448486,6.630647659301758,23,256,What is the capital of Bulgaria?
114,factual,0.08203125,0.0024318695068359375,6.6572346687316895,7.387852668762207,21,256,What is the chemical symbol for Gallium?
115,factual,0.08203125,0.04198265075683594,5.515560150146484,6.402491569519043,21,256,What is the typical lifespan of a hummingbird?
116,factual,0.16015625,0.03430366516113281,4.844168663024902,5.290409088134766,41,256,Who wrote the novel 'On the Road'?
117,factual,0.09375,0.03482627868652344,5.611528396606445,6.254218101501465,24,256,What continent is Venezuela located on?
118,factual,0.0703125,0.008443832397460938,5.359107494354248,5.775651931762695,18,256,Who wrote the novel '1984'?
119,factual,0.02734375,0.3464527130126953,7.144506454467773,7.362187385559082,7,256,What language is primarily spoken in Croatia?
120,factual,0.015625,0.35709571838378906,7.02955961227417,6.917350769042969,4,256,What is the capital of Iran?
121,factual,0.109375,0.030069351196289062,5.378781795501709,5.69777774810791,28,256,What is Wolfgang Amadeus Mozart known for?
122,factual,0.1015625,0.02938079833984375,6.886835098266602,7.520941734313965,26,256,What is the chemical symbol for Germanium?
123,factual,0.0703125,0.0023632049560546875,5.695878028869629,5.654665946960449,18,256,What language is primarily spoken in Germany?
124,factual,0.078125,0.0011501312255859375,4.994021892547607,5.031723976135254,20,256,What is the capital of Australia?
125,factual,0.15625,0.009357452392578125,4.996105194091797,5.3550310134887695,40,256,Who wrote the novel 'Moby Dick'?
126,factual,0.0625,0.16047286987304688,6.902558326721191,7.314379692077637,16,256,What is Martin Luther King Jr. known for?
127,factual,0.12109375,0.017124176025390625,6.436958312988281,7.184746742248535,31,256,What is the typical lifespan of a armadillo?
128,factual,0.0625,0.060398101806640625,6.756614685058594,7.088146209716797,16,256,In what year did the invention of the telephone occur?
129,factual,0.078125,0.13257980346679688,5.710147857666016,6.153308868408203,20,256,What is Julius Caesar known for?
130,factual,0.09375,0.00768280029296875,5.873330116271973,6.345020294189453,24,256,What is Nicolaus Copernicus known for?
131,factual,0.109375,0.07253646850585938,5.4677324295043945,5.580334663391113,28,256,What is the capital of Turkey?
132,factual,0.21484375,0.0047855377197265625,4.227123260498047,3.834498405456543,55,256,What continent is Brazil located on?
133,factual,0.35546875,0.0077114105224609375,2.890568733215332,1.8852744102478027,91,256,What is Ludwig van Beethoven known for?
134,factual,0.07421875,0.09440422058105469,4.991299152374268,5.146183013916016,19,256,What is the typical lifespan of a honeybee?
135,factual,0.109375,0.019964218139648438,5.203794479370117,5.6988725662231445,28,256,What is the typical lifespan of a flamingo?
136,factual,0.0234375,0.2984657287597656,7.1974711418151855,7.1302595138549805,6,256,What language is primarily spoken in Czech Republic?
137,factual,0.09375,0.008256912231445312,5.725198745727539,6.330415725708008,24,256,What continent is Thailand located on?
138,factual,0.1015625,0.004241943359375,5.137768745422363,4.977626800537109,26,256,What is the capital of Sweden?
139,factual,0.07421875,0.0012950897216796875,6.0170745849609375,6.267650604248047,19,256,What is the typical lifespan of a kangaroo?
140,factual,0.06640625,0.0018253326416015625,5.282019138336182,5.278918266296387,17,256,What is the capital of Morocco?
141,factual,0.109375,0.03500556945800781,5.069362640380859,5.644989013671875,28,256,What is Genghis Khan known for?
142,factual,0.0234375,0.09778594970703125,7.364169597625732,7.205343246459961,6,256,What is the capital of New Zealand?
143,factual,0.0234375,0.022212982177734375,7.843692302703857,7.6782121658325195,6,256,What is the chemical symbol for Tin?
144,factual,0.03125,0.009817123413085938,6.8876543045043945,6.93186092376709,8,256,What language is primarily spoken in Mongolia?
145,factual,0.078125,0.009008407592773438,6.519421577453613,6.847773551940918,20,256,What is Archimedes known for?
146,factual,0.0390625,0.09917640686035156,5.908255577087402,5.783170700073242,10,256,What is the capital of Russia?
147,factual,0.22265625,0.007045745849609375,4.323066711425781,4.629000663757324,57,256,What continent is Kazakhstan located on?
148,factual,0.01953125,0.0417633056640625,7.771756172180176,7.690695762634277,5,256,What is the chemical symbol for Sodium?
149,factual,0.1328125,0.03170967102050781,5.778489589691162,5.9334611892700195,34,256,In what year did the Battle of Waterloo occur?
150,factual,0.125,0.038631439208984375,5.565983772277832,5.6468729972839355,32,256,What is Marie Curie known for?
151,factual,0.12890625,0.03586006164550781,5.200614929199219,5.720080375671387,33,256,In what year did the founding of the United Nations occur?
152,factual,0.05078125,0.07003211975097656,6.642963409423828,7.061105728149414,13,256,What is Rosa Parks known for?
153,factual,0.0625,0.2955169677734375,6.14671516418457,7.07578182220459,16,256,What is the chemical symbol for Zinc?
154,factual,0.0390625,0.06162834167480469,7.192514896392822,7.711494445800781,10,256,What is the chemical symbol for Radon?
155,factual,0.14453125,0.06285858154296875,5.975885391235352,6.577191352844238,37,256,In what year did the Korean War occur?
156,factual,0.0546875,0.08472061157226562,7.073433876037598,7.487569808959961,14,256,In what year did the signing of the Magna Carta occur?
157,factual,0.03125,0.2017192840576172,6.923602104187012,7.176885604858398,8,256,What is the typical lifespan of a cheetah?
158,factual,0.06640625,0.029584884643554688,6.730023384094238,7.268601417541504,17,256,What is the typical lifespan of a moose?
159,factual,0.1796875,0.017917633056640625,4.95511531829834,4.875123977661133,46,256,What is Alan Turing known for?
160,factual,0.02734375,0.016958236694335938,6.789351463317871,6.611746788024902,7,256,What is the chemical symbol for Rubidium?
161,factual,0.125,0.023271560668945312,5.456552505493164,5.954023361206055,32,256,What continent is Singapore located on?
162,factual,0.0390625,0.15940093994140625,6.964300632476807,7.672410011291504,10,256,What is the chemical symbol for Magnesium?
163,factual,0.03515625,0.065826416015625,6.7746686935424805,6.593433380126953,9,256,What is the capital of Norway?
164,factual,0.05859375,0.19226837158203125,6.376858711242676,7.481801986694336,15,256,What is the chemical symbol for Iron?
165,factual,0.0859375,0.030706405639648438,5.5916242599487305,5.6282758712768555,22,256,What language is primarily spoken in Ecuador?
166,factual,0.08203125,0.0105438232421875,4.714761257171631,4.918097496032715,21,256,What is the typical lifespan of a spider?
167,factual,0.04296875,0.0378570556640625,6.7751851081848145,7.374538421630859,11,256,What is the typical lifespan of a sloth?
168,factual,0.0625,0.08296012878417969,5.177925109863281,5.485957145690918,16,256,What is the capital of Kenya?
169,factual,0.11328125,0.058994293212890625,6.478216171264648,7.263546943664551,29,256,In what year did the Boston Tea Party occur?
170,factual,0.07421875,0.0016021728515625,5.555512428283691,6.290403366088867,19,256,What is the chemical symbol for Aluminum?
171,factual,0.09375,0.035099029541015625,6.469409465789795,6.8481292724609375,24,256,What language is primarily spoken in Vietnam?
172,factual,0.125,0.050140380859375,4.7845964431762695,5.094913482666016,32,256,Who wrote the novel 'Heart of Darkness'?
173,factual,0.04296875,0.1718006134033203,6.4556074142456055,6.768919944763184,11,256,What is the chemical symbol for Bismuth?
174,factual,0.06640625,0.06538200378417969,6.980467796325684,7.605897903442383,17,256,What is the chemical symbol for Uranium?
175,factual,0.0390625,0.03902435302734375,5.922320365905762,5.720539093017578,10,256,What is the capital of Brazil?
176,factual,0.05078125,0.0004444122314453125,6.555686950683594,7.059447288513184,13,256,Who wrote the novel 'David Copperfield'?
177,factual,0.03125,0.23822021484375,7.423741817474365,7.42900276184082,8,256,What is the capital of Canada?
178,factual,0.08203125,0.05599212646484375,6.70473051071167,7.160332679748535,21,256,In what year did the American Civil War occur?
179,factual,0.03515625,0.04651832580566406,6.698996067047119,6.809731483459473,9,256,What language is primarily spoken in India?
180,factual,0.07421875,0.036651611328125,5.849358558654785,5.835540771484375,19,256,What continent is Norway located on?
181,factual,0.03515625,0.03824806213378906,7.110227584838867,7.662768363952637,9,256,What is the typical lifespan of a dolphin?
182,factual,0.02734375,0.07708358764648438,7.714223861694336,7.693094253540039,7,256,What continent is Cuba located on?
183,factual,0.0546875,0.023204803466796875,6.843441009521484,7.145201683044434,14,256,What is the typical lifespan of a jellyfish?
184,factual,0.0546875,0.3771820068359375,6.059304714202881,6.754311561584473,14,256,What is the chemical symbol for Manganese?
185,factual,0.35546875,0.013853073120117188,2.741537094116211,1.8278083801269531,91,256,What is William Shakespeare known for?
186,factual,0.24609375,0.002574920654296875,3.166815757751465,2.984431266784668,63,256,Who wrote the novel 'Anna Karenina'?
187,factual,0.08984375,0.017469406127929688,6.251723289489746,6.482549667358398,23,256,Who wrote the novel 'A Tale of Two Cities'?
188,factual,0.171875,0.001873016357421875,4.255886554718018,4.139331817626953,44,256,Who wrote the novel 'Frankenstein'?
189,factual,0.19140625,0.0002422332763671875,3.913611650466919,3.5840530395507812,49,256,Who wrote the novel 'The Plague'?
190,factual,0.171875,0.0069942474365234375,5.453287124633789,5.6118268966674805,44,256,In what year did the assassination of Archduke Franz Ferdinand occur?
191,factual,0.03515625,0.09659385681152344,6.576450347900391,6.83154296875,9,256,What continent is Sri Lanka located on?
192,factual,0.08984375,0.00775909423828125,6.883917331695557,7.101181983947754,23,256,What is the chemical symbol for Argon?
193,factual,0.09375,0.10831451416015625,5.166620254516602,5.284012794494629,24,256,What is the typical lifespan of a gorilla?
194,factual,0.12890625,0.0038585662841796875,4.628729820251465,5.391283988952637,33,256,Who wrote the novel 'Alice in Wonderland'?
195,factual,0.04296875,0.0145721435546875,7.443612098693848,7.996040344238281,11,256,What continent is Ireland located on?
196,factual,0.12890625,0.025867462158203125,6.584519386291504,7.329200744628906,33,256,What is the chemical symbol for Lithium?
197,factual,0.05859375,0.09025192260742188,5.872735977172852,6.457820892333984,15,256,What continent is Argentina located on?
198,factual,0.078125,0.0030612945556640625,6.560589790344238,7.216656684875488,20,256,In what year did the construction of the Panama Canal occur?
199,factual,0.14453125,0.005462646484375,5.733843803405762,6.0736284255981445,37,256,Who wrote the novel 'The Grapes of Wrath'?
200,factual,0.078125,0.07198905944824219,6.279494285583496,6.5998125076293945,20,256,In what year did the Russian Revolution occur?
201,factual,0.0546875,0.09891510009765625,7.495830059051514,8.297372817993164,14,256,What is Confucius known for?
202,factual,0.0546875,0.057140350341796875,6.39283561706543,5.861800193786621,14,256,What continent is Egypt located on?
203,factual,0.109375,0.0026397705078125,6.714465141296387,7.698509216308594,28,256,Who wrote the novel 'Great Expectations'?
204,factual,0.16015625,0.06454086303710938,5.174412727355957,5.139610290527344,41,256,What language is primarily spoken in Ethiopia?
205,factual,0.09765625,0.00853729248046875,5.256837844848633,5.306722640991211,25,256,What is the typical lifespan of a penguin?
206,factual,0.02734375,0.10403633117675781,7.135242462158203,7.161535263061523,7,256,In what year did the fall of the Roman Empire occur?
207,factual,0.04296875,0.046405792236328125,7.801492691040039,7.618910789489746,11,256,What is the capital of Nigeria?
208,factual,0.046875,0.2850494384765625,7.2606425285339355,7.754040718078613,12,256,What continent is Japan located on?
209,factual,0.09375,0.12944984436035156,6.27232027053833,6.810892105102539,24,256,What is the chemical symbol for Hydrogen?
210,factual,0.07421875,0.032161712646484375,6.309588432312012,6.538618087768555,19,256,What language is primarily spoken in Iran?
211,factual,0.15234375,0.013109207153320312,5.792395114898682,5.988875389099121,39,256,What is the chemical symbol for Lead?
212,factual,0.0390625,0.1470184326171875,7.01087760925293,7.2069244384765625,10,256,In what year did the fall of the Berlin Wall occur?
213,factual,0.1015625,0.018177032470703125,5.18241024017334,5.659191131591797,26,256,What is the typical lifespan of a peacock?
214,factual,0.0703125,0.003627777099609375,6.041205406188965,6.487668037414551,18,256,What is the typical lifespan of a rattlesnake?
215,factual,0.07421875,0.04273796081542969,5.75930118560791,6.339873313903809,19,256,What is the typical lifespan of a tiger?
216,factual,0.13671875,0.017505645751953125,5.1014862060546875,5.275973320007324,35,256,In what year did the Cuban Missile Crisis occur?
217,factual,0.08203125,0.06265640258789062,5.041055202484131,5.168508529663086,21,256,What is the typical lifespan of a butterfly?
218,factual,0.04296875,0.017406463623046875,7.287610054016113,7.427131652832031,11,256,In what year did the signing of the Emancipation Proclamation occur?
219,factual,0.01953125,0.13758468627929688,7.263797760009766,7.247139930725098,5,256,What is the chemical symbol for Oxygen?
220,factual,0.046875,0.07323837280273438,7.074338436126709,7.131169319152832,12,256,What continent is Nigeria located on?
221,factual,0.13671875,0.015710830688476562,4.886985778808594,5.1054840087890625,35,256,What is the typical lifespan of a hedgehog?
222,factual,0.12890625,0.007823944091796875,6.40037727355957,6.827572822570801,33,256,What is Johannes Kepler known for?
223,factual,0.1796875,0.0006008148193359375,4.590279579162598,5.073483467102051,46,256,What is Sigmund Freud known for?
224,factual,0.13671875,0.04443550109863281,4.21445369720459,4.625395774841309,35,256,What is the capital of France?
225,factual,0.10546875,0.22078514099121094,5.316102981567383,5.413132667541504,27,256,What is the typical lifespan of a lynx?
226,factual,0.2421875,0.017698287963867188,3.6330223083496094,3.291807174682617,62,256,What is the capital of Ethiopia?
227,factual,0.140625,0.0051403045654296875,5.970695495605469,6.200586318969727,36,256,What is Claude Monet known for?
228,factual,0.03515625,0.01230621337890625,6.845416069030762,6.711360931396484,9,256,What continent is South Korea located on?
229,factual,0.125,0.0038623809814453125,5.880927085876465,6.426447868347168,32,256,What continent is Mexico located on?
230,factual,0.15234375,0.0020008087158203125,5.00908899307251,4.870599746704102,39,256,What language is primarily spoken in Nigeria?
231,factual,0.11328125,0.05793190002441406,4.785497665405273,4.915882110595703,29,256,What is the chemical symbol for Tungsten?
232,factual,0.08203125,0.05649566650390625,7.322129249572754,8.12646770477295,21,256,What is the chemical symbol for Gold?
233,factual,0.0625,0.08782196044921875,5.402300834655762,5.313316345214844,16,256,What language is primarily spoken in Norway?
234,factual,0.12890625,0.0005779266357421875,5.424342155456543,5.781827926635742,33,256,What is Nikola Tesla known for?
235,factual,0.03125,0.09255027770996094,7.245536804199219,7.148446083068848,8,256,What is the capital of Croatia?
236,factual,0.10546875,0.024312973022460938,4.833250522613525,4.753148078918457,27,256,Who wrote the novel 'Crime and Punishment'?
237,factual,0.13671875,0.007556915283203125,5.839890480041504,5.585939407348633,35,256,What is the chemical symbol for Bromine?
238,factual,0.1328125,0.06548118591308594,5.61512565612793,6.148227691650391,34,256,In what year did the Norman Conquest occur?
239,factual,0.08203125,0.04271507263183594,5.241470813751221,5.517816543579102,21,256,What is the capital of Tunisia?
240,factual,0.04296875,0.070892333984375,7.278133392333984,8.064017295837402,11,256,What language is primarily spoken in Turkey?
241,factual,0.02734375,0.013599395751953125,6.931852340698242,7.3288469314575195,7,256,What is the typical lifespan of a panda?
242,factual,0.09765625,0.023397445678710938,5.5469207763671875,5.785566329956055,25,256,What language is primarily spoken in Japan?
243,factual,0.12890625,0.024763107299804688,6.137028694152832,6.475124359130859,33,256,In what year did the abolition of apartheid occur?
244,factual,0.10546875,0.015363693237304688,6.086077690124512,6.447993278503418,27,256,What is Galileo Galilei known for?
245,factual,0.05078125,0.028059005737304688,5.086121559143066,5.193027496337891,13,256,What is the capital of China?
246,factual,0.109375,0.025966644287109375,5.725224018096924,6.702160835266113,28,256,What continent is Bolivia located on?
247,factual,0.109375,0.027355194091796875,5.9831695556640625,6.176093101501465,28,256,What continent is Finland located on?
248,factual,0.0390625,0.0666961669921875,6.675449371337891,6.963515281677246,10,256,What language is primarily spoken in Russia?
249,factual,0.13671875,0.007106781005859375,4.05755090713501,4.551734924316406,35,256,Who wrote the novel 'The Stranger'?
250,factual,0.03125,0.11489295959472656,6.724071502685547,7.130814552307129,8,256,What is the typical lifespan of a giraffe?
